consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Melhor em casa — Ministério da Saúde,O Melhor em Casa oferece ... Profissionais de saúde da equipe de Atenção Domiciliar visitam o paciente regularmente para fornecer o tratamento necessário.,https://www.gov.br/saude/pt-br/composicao/saes/melhor-em-casa,GOV.BR,"['Melhor em Casa', 'Atenção Domiciliar']",1,PA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Caderno de atenção domiciliar - Biblioteca Virtual em Saúde,"Pelas características da atenção domiciliar, já comentadas neste capítulo, o PTS representa um importante ... Melhor em Casa, aumenta- se a preocupação com ...",https://bvsms.saude.gov.br/bvs/publicacoes/caderno_atencao_domiciliar_melhor_casa.pdf,Biblioteca Virtual em Saúde MS,"['atenção domiciliar', 'Melhor em Casa']",2,SE
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Manual Instrutivo do Melhor em Casa,"c) Descrição do funcionamento do SAD, coerente com os princípios da atenção domiciliar; ... Melhor em Casa. Melhor em Casa. A SEGURANÇA DO ...",http://189.28.128.100/dab/docs/geral/cartilha_melhor_em_casa.pdf,189.28.128,27 de out. de 2011,3,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa Melhor em Casa,"Com o lançamento do Programa Melhor em Casa, em 2011, a qualificação e ampliação da Atenção Domiciliar no Sistema Único de Saúde (SUS) foram colocadas como ...",https://www.mpba.mp.br/sites/default/files/biblioteca/saude/temas-em-saude/atendimento_medico_domiciliar/melhor_em_casa_manual_monitoramento_avaliacao_programa.pdf,Ministério Público do Estado da Bahia. |,"['Melhor em Casa', 'Atenção Domiciliar']",4,BA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",PROTOCOLO DE SERVIÇO DE ATENÇÃO DOMICILIAR ...,"SERVIÇO DE ATENÇÃO DOMICILIAR/PROGRAMA MELHOR EM CASA. 5. 2.1. Classificação das modalidades AD1, AD2 e AD3. 7. 3. OBJETIVOS DO PROGRAMA MELHOR EM CASA. 10. 4 ...",https://s3cache.dom.sc.gov.br/atos/2024/05/1717015728_protocolo_mec_bigua_dia_vinte_e_seis_de_fevereiro_2__1.pdf,DOM/SC,"['ATENÇÃO DOMICILIAR', 'MELHOR EM CASA', 'MELHOR EM CASA']",5,SC
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa Melhor em Casa leva atendimento especializado ...,"Integrado à Secretaria de Atenção Especializada à Saúde (SAES), o Melhor em Casa organiza o Serviço de Atenção Domiciliar (SAD) em ...",https://www.gov.br/saude/pt-br/assuntos/noticias/2026/janeiro/programa-melhor-em-casa-leva-atendimento-especializado-ao-domicilio-de-pacientes-do-sus,www.gov.br,21 de jan. de 2026,6,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Serviço de Atenção Domiciliar - Melhor em Casa – POA,Serviço de Atenção Domiciliar - Melhor em Casa – POA. O Programa Melhor em Casa é um programa de atenção domiciliar que tem por objetivos: • Promover a ...,http://lproweb.procempa.com.br/pmpa/prefpoa/sms/usu_doc/programa_melhor_em_casa.pdf,procempa.com.br,"['Atenção Domiciliar', 'Melhor em Casa', 'Melhor em Casa', 'atenção domiciliar']",7,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Organização da atenção domiciliar com o Programa ...,Aceitaram participar do estudo 19 municípios que ofertam Serviços de Atenção Domiciliar vinculados ao Programa Melhor em Casa. A coleta de dados ocorreu entre ...,https://www.scielo.br/j/rgenf/a/npgPRKrXL4gftMvhvnQhzqd/,SciELO,"['Atenção Domiciliar', 'Melhor em Casa']",8,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Melhor em Casa,"O serviço de atenção domiciliar no município de Bento Gonçalves, está ativo desde 2005, e a implementação do Programa Melhor em Casa ocorreu no ano de 2012 ( ...",https://www.bentogoncalves.rs.gov.br/melhor-em-casa/,Prefeitura Municipal de Bento Gonçalves,"['atenção domiciliar', 'Melhor em Casa']",9,RS
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa Melhor em Casa (PMC),"O Programa Melhor em Casa, sem sombra de dúvida, representa um grande avanço no fortalecimento da atenção domiciliar no âmbito do SUS, e deve ser garantido ...",https://procuradaela.org.br/programa-melhor-em-casa-pmc/,Associação Pró-Cura da ELA,"['Melhor em Casa', 'atenção domiciliar']",2,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Prefeito Roberto Cláudio lança Programa Melhor em Casa,"O prefeito Roberto Cláudio lançou, nesta segunda-feira (27/01), no Teatro São José, o Programa Melhor em Casa, Serviço de Atenção Domiciliar ...",https://www.fortaleza.ce.gov.br/noticias/prefeito-roberto-claudio-lanca-programa-melhor-em-casa,Prefeitura de Fortaleza,27 de jan. de 2020,3,CE
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",🏠 O Programa Melhor em Casa é considerado o maior ...,"O Programa Melhor em Casa é considerado o maior hospital público do país! Em 2023, mais de 5 milhões de atendimentos foram realizados.",https://www.instagram.com/p/DDR5tW8t0Ya/,Instagram · minsaude,['Melhor em Casa'],5,NA
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa Melhor em Casa realiza cuidados em domicílio ...,Programa Melhor em Casa realiza cuidados em domicílio e evita ... Atenção Domiciliar (SAD) desenvolvido no Hospital Geral de Palmas (HGP).,https://www.to.gov.br/saude/noticias/programa-melhor-em-casa-realiza-cuidados-em-domicilio-e-evita-superlotacao-de-hospitais/58psfmpixiyg,Governo do Tocantins,12 de nov. de 2018,6,TO
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes",Programa 'Melhor em Casa' é um dos destaques ...,Programa 'Melhor em Casa' é um dos destaques da Secretaria da Saúde de Fernandópolis ... O serviço de atenção domiciliar tem avançado ...,https://www.fernandopolis.sp.gov.br/noticias/saude/-programa-melhor-em-casa-e-um-dos-destaques-da-secretaria-da-saude-de-fernandopolis-,Prefeitura de Fernandópolis,18 de ago. de 2022,7,SP
"""Melhor em Casa"" OR ""atencao domiciliar"" informacoes","Com atendimento domiciliar, Melhor em Casa leva ...","Com atendimento domiciliar, Melhor em Casa leva cuidado e atendimento humanizado a pacientes em Jundiaí. Publicada em 20/03/2026 às 10:10. Uma ...",https://jundiai.sp.gov.br/noticias/2026/03/20/com-atendimento-domiciliar-melhor-em-casa-leva-cuidado-e-atendimento-humanizado-a-pacientes-em-jundiai/,Prefeitura de Jundiaí,20 de mar. de 2026,8,SP
