UF;MUN_COM_AD;N_EQUIPES;MUN_TOTAL;POPULACAO;COBERTURA_%;EQUIPES_POR_100K;REGIAO
AC;2;5;22;830;9.1;0.6;Norte
AL;46;99;102;3128;45.1;3.16;Nordeste
AM;10;39;62;3942;16.1;0.99;Norte
AP;2;9;16;733;12.5;1.23;Norte
BA;141;282;417;14136;33.8;1.99;Nordeste
CE;82;181;184;8794;44.6;2.06;Nordeste
DF;1;27;1;2817;100.0;0.96;Centro-Oeste
ES;4;10;78;3834;5.1;0.26;Sudeste
GO;67;142;246;7055;27.2;2.01;Centro-Oeste
MA;44;89;217;6775;20.3;1.31;Nordeste
MG;156;317;853;20539;18.3;1.54;Sudeste
MS;10;23;79;2757;12.7;0.83;Centro-Oeste
MT;11;24;141;3658;7.8;0.66;Centro-Oeste
PA;71;154;144;8120;49.3;1.9;Norte
PB;93;146;223;3975;41.7;3.67;Nordeste
PE;54;137;185;9058;29.2;1.51;Nordeste
PI;53;72;224;3269;23.7;2.2;Nordeste
PR;36;88;399;11444;9.0;0.77;Sul
RJ;44;153;92;16055;47.8;0.95;Sudeste
RN;25;48;167;3303;15.0;1.45;Nordeste
RO;8;16;52;1815;15.4;0.88;Norte
RR;1;2;15;636;6.7;0.31;Norte
RS;43;80;497;10882;8.7;0.74;Sul
SC;28;47;295;7610;9.5;0.62;Sul
SE;26;50;75;2210;34.7;2.26;Nordeste
SP;155;412;645;44411;24.0;0.93;Sudeste
TO;5;12;139;1512;3.6;0.79;Norte
