SEQ_EQUIPE;CO_MUNICIPIO;UF;REGIAO;TIPO;CONFORME;PROBLEMAS
2261502;251690;PB;Nordeste;EMAP;False;CHS_TOTAL_INSUFICIENTE
2286904;310730;MG;Sudeste;EMAD I;False;ENFERMEIRO,TECNICO_ENFERMAGEM
2286912;310730;MG;Sudeste;EMAP;True;
2286890;130190;AM;Norte;EMAP;True;
2492946;110040;RO;Norte;EMAP;True;
1527339;352050;SP;Sudeste;EMAD I;False;ENFERMEIRO
1562436;520890;GO;Centro-Oeste;EMAD II;True;
1562444;520890;GO;Centro-Oeste;EMAP;True;
1522981;220790;PI;Nordeste;EMAD II;True;
1523074;220790;PI;Nordeste;EMAP;True;
367907;355030;SP;Sudeste;EMAP;True;
1707086;230760;CE;Nordeste;EMAD I;False;ENFERMEIRO
1711733;230760;CE;Nordeste;EMAP;True;
1643428;290460;BA;Nordeste;EMAD I;True;
1698311;520330;GO;Centro-Oeste;EMAP;True;
1564536;316800;MG;Sudeste;EMAD II;True;
1548344;316800;MG;Sudeste;EMAP;True;
1672533;150680;PA;Norte;EMAD I;False;ENFERMEIRO
1697595;354340;SP;Sudeste;EMAD I;True;
1548646;231070;CE;Nordeste;EMAD II;True;
2192500;354340;SP;Sudeste;EMAD I;True;
2192594;350950;SP;Sudeste;EMAP;True;
277231;317070;MG;Sudeste;EMAP;True;
210137;292740;BA;Nordeste;EMAD I;False;ENFERMEIRO
1674560;251250;PB;Nordeste;EMAP;True;
1674552;251250;PB;Nordeste;EMAD I;True;
1677489;240360;RN;Nordeste;EMAD II;True;
1616161;353420;SP;Sudeste;EMAD II;True;
1480162;230523;CE;Nordeste;EMAD I;True;
1521705;260050;PE;Nordeste;EMAD I;False;TECNICO_ENFERMAGEM
1616676;522140;GO;Centro-Oeste;EMAP;False;POUCAS_CATEGORIAS_NS
1616668;522140;GO;Centro-Oeste;EMAD I;False;FISIO_OU_AS
1589326;150140;PA;Norte;EMAD I;False;ENFERMEIRO
1541544;313505;MG;Sudeste;EMAD II;True;
1541552;313505;MG;Sudeste;EMAP;False;POUCAS_CATEGORIAS_NS
454710;520140;GO;Centro-Oeste;EMAD I;True;
454745;520140;GO;Centro-Oeste;EMAD I;True;
454737;520140;GO;Centro-Oeste;EMAD I;True;
454729;520140;GO;Centro-Oeste;EMAP;True;
2156202;351060;SP;Sudeste;EMAD I;False;FISIO_OU_AS
189901;291072;BA;Nordeste;EMAD I;True;
189898;291072;BA;Nordeste;EMAP;True;
2153939;210860;MA;Nordeste;EMAP;False;POUCAS_CATEGORIAS_NS,CHS_TOTAL_INSUFICIENTE
1511378;240325;RN;Nordeste;EMAD I;True;
109223;240325;RN;Nordeste;EMAP;True;
1685732;230495;CE;Nordeste;EMAD II;True;
1697641;230945;CE;Nordeste;EMAD II;True;
1697668;230945;CE;Nordeste;EMAP;True;
2058855;320160;ES;Sudeste;EMAP;True;
1656678;310620;MG;Sudeste;EMAP;True;
1517139;520870;GO;Centro-Oeste;EMAD I;False;ENFERMEIRO
1517120;520870;GO;Centro-Oeste;EMAP;True;
1696076;290320;BA;Nordeste;EMAD I;True;
1618083;280710;SE;Nordeste;EMAP;True;
1618075;280710;SE;Nordeste;EMAD I;True;
349127;354640;SP;Sudeste;EMAD I;True;
349119;354640;SP;Sudeste;EMAP;True;
1705016;251530;PB;Nordeste;EMAD I;True;
1705040;251530;PB;Nordeste;EMAP;True;
1671774;330350;RJ;Sudeste;EMAD I;False;ENFERMEIRO
1671782;330350;RJ;Sudeste;EMAD I;True;
1672150;330350;RJ;Sudeste;EMAD I;True;
2255766;351518;SP;Sudeste;EMAD I;True;
2255758;351518;SP;Sudeste;EMAP;True;
2255847;220700;PI;Nordeste;EMAD II;True;
1485865;354780;SP;Sudeste;EMAD I;False;ENFERMEIRO
2255855;220700;PI;Nordeste;EMAP;True;
2247941;313130;MG;Sudeste;EMAD I;True;
1712144;230655;CE;Nordeste;EMAD I;False;ENFERMEIRO
1698656;291450;BA;Nordeste;EMAD II;False;FISIO_OU_AS
1698664;291450;BA;Nordeste;EMAP;True;
1589768;292740;BA;Nordeste;EMAD I;True;
1512676;171820;TO;Norte;EMAD I;True;
1504444;270140;AL;Nordeste;EMAD I;False;FISIO_OU_AS
1504452;270140;AL;Nordeste;EMAP;True;
1535331;521450;GO;Centro-Oeste;EMAD II;False;TECNICO_ENFERMAGEM
1616072;352730;SP;Sudeste;EMAD I;True;
1616129;352730;SP;Sudeste;EMAP;True;
1477455;355280;SP;Sudeste;EMAD I;True;
1477463;355280;SP;Sudeste;EMAP;True;
1606271;355280;SP;Sudeste;EMAD I;True;
382736;410690;PR;Sul;EMAD I;False;ENFERMEIRO
473456;410690;PR;Sul;EMAP;True;
1709674;410690;PR;Sul;EMAD I;True;
