data,total_equipes,equipes_conformes,taxa_conformidade,municipios_total,municipios_conformes
2011-01-01,6,5,83.33333333333334,3,2
2011-02-01,6,5,83.33333333333334,3,2
2011-03-01,9,8,88.88888888888889,3,2
2011-04-01,9,8,88.88888888888889,3,2
2011-05-01,9,8,88.88888888888889,3,2
2011-06-01,9,8,88.88888888888889,3,2
2011-07-01,9,8,88.88888888888889,3,2
2011-08-01,9,8,88.88888888888889,3,2
2011-09-01,9,8,88.88888888888889,3,2
2011-10-01,9,8,88.88888888888889,3,2
2011-11-01,10,8,80.0,4,2
2011-12-01,28,22,78.57142857142857,8,6
2012-01-01,29,22,75.86206896551724,8,6
2012-02-01,30,22,73.33333333333333,9,6
2012-03-01,32,24,75.0,10,7
2012-04-01,36,26,72.22222222222221,12,8
2012-05-01,36,26,72.22222222222221,12,8
2012-06-01,40,30,75.0,14,10
2012-07-01,42,31,73.80952380952381,16,11
2012-08-01,44,33,75.0,17,12
2012-09-01,50,39,78.0,18,14
2012-10-01,56,43,76.78571428571429,21,17
2012-11-01,57,44,77.19298245614034,22,18
2012-12-01,62,49,79.03225806451613,22,18
2013-01-01,66,53,80.3030303030303,24,20
2013-02-01,69,56,81.15942028985508,26,22
2013-03-01,74,58,78.37837837837837,28,22
2013-04-01,76,58,76.31578947368422,29,22
2013-05-01,77,59,76.62337662337663,30,23
2013-06-01,81,63,77.77777777777779,31,25
2013-07-01,85,67,78.82352941176471,34,28
2013-08-01,93,70,75.26881720430107,40,30
2013-09-01,98,74,75.51020408163265,42,32
2013-10-01,99,75,75.75757575757575,42,32
2013-11-01,100,75,75.0,43,32
2013-12-01,105,77,73.33333333333333,46,34
2014-01-01,112,81,72.32142857142857,49,36
2014-02-01,115,81,70.43478260869566,50,36
2014-03-01,120,84,70.0,53,38
2014-04-01,121,84,69.42148760330579,53,38
2014-05-01,127,89,70.07874015748031,55,40
2014-06-01,135,93,68.88888888888889,61,43
2014-07-01,140,96,68.57142857142857,63,44
2014-08-01,148,102,68.91891891891892,67,48
2014-09-01,148,102,68.91891891891892,67,48
2014-10-01,148,102,68.91891891891892,67,48
2014-11-01,151,105,69.5364238410596,68,51
2014-12-01,151,105,69.5364238410596,68,51
2015-01-01,152,105,69.07894736842105,68,51
2015-02-01,154,106,68.83116883116884,69,51
2015-03-01,157,109,69.42675159235668,70,53
2015-04-01,157,109,69.42675159235668,70,53
2015-05-01,158,110,69.62025316455697,71,54
2015-06-01,159,111,69.81132075471697,71,54
2015-07-01,160,112,70.0,71,54
2015-08-01,162,113,69.75308641975309,72,55
2015-09-01,162,114,70.37037037037037,71,55
2015-10-01,166,117,70.48192771084338,71,55
