UF;TOTAL_EQUIPES;MUNICIPIOS_COM_AD;NOME_ESTADO;REGIAO
SP;412;155;São Paulo;Sudeste
MG;317;156;Minas Gerais;Sudeste
BA;282;141;Bahia;Nordeste
CE;181;82;Ceará;Nordeste
PA;154;71;Pará;Norte
RJ;153;44;Rio de Janeiro;Sudeste
PB;146;93;Paraíba;Nordeste
GO;142;67;Goiás;Centro-Oeste
PE;137;54;Pernambuco;Nordeste
AL;99;46;Alagoas;Nordeste
MA;89;44;Maranhão;Nordeste
PR;88;36;Paraná;Sul
RS;80;43;Rio Grande do Sul;Sul
PI;72;53;Piauí;Nordeste
SE;50;26;Sergipe;Nordeste
RN;48;25;Rio Grande do Norte;Nordeste
SC;47;28;Santa Catarina;Sul
AM;39;10;Amazonas;Norte
DF;27;1;Distrito Federal;Centro-Oeste
MT;24;11;Mato Grosso;Centro-Oeste
MS;23;10;Mato Grosso do Sul;Centro-Oeste
RO;16;8;Rondônia;Norte
TO;12;5;Tocantins;Norte
ES;10;4;Espírito Santo;Sudeste
AP;9;2;Amapá;Norte
AC;5;2;Acre;Norte
RR;2;1;Roraima;Norte
