UF;NOME_ESTADO;REGIAO;TOTAL_EQUIPES;MUNICIPIOS_COM_AD;MUNICIPIOS_TOTAL;COBERTURA_%;EQUIPES_CONFORMES;TAXA_CONFORMIDADE_%
SP;São Paulo;Sudeste;412;155;645;24.0;292;70.9
MG;Minas Gerais;Sudeste;317;156;853;18.3;262;82.6
BA;Bahia;Nordeste;282;141;417;33.8;222;78.7
CE;Ceará;Nordeste;181;82;184;44.6;112;61.9
PA;Pará;Norte;154;71;144;49.3;119;77.3
RJ;Rio de Janeiro;Sudeste;153;44;92;47.8;114;74.5
PB;Paraíba;Nordeste;146;93;223;41.7;110;75.3
GO;Goiás;Centro-Oeste;142;67;246;27.2;110;77.5
PE;Pernambuco;Nordeste;137;54;185;29.2;94;68.6
AL;Alagoas;Nordeste;99;46;102;45.1;87;87.9
MA;Maranhão;Nordeste;89;44;217;20.3;81;91.0
PR;Paraná;Sul;88;36;399;9.0;57;64.8
RS;Rio Grande do Sul;Sul;80;43;497;8.7;59;73.8
PI;Piauí;Nordeste;72;53;224;23.7;59;81.9
SE;Sergipe;Nordeste;50;26;75;34.7;47;94.0
RN;Rio Grande do Norte;Nordeste;48;25;167;15.0;43;89.6
SC;Santa Catarina;Sul;47;28;295;9.5;37;78.7
AM;Amazonas;Norte;39;10;62;16.1;34;87.2
DF;Distrito Federal;Centro-Oeste;27;1;1;100.0;24;88.9
MT;Mato Grosso;Centro-Oeste;24;11;141;7.8;20;83.3
MS;Mato Grosso do Sul;Centro-Oeste;23;10;79;12.7;18;78.3
RO;Rondônia;Norte;16;8;52;15.4;11;68.8
TO;Tocantins;Norte;12;5;139;3.6;10;83.3
ES;Espírito Santo;Sudeste;10;4;78;5.1;9;90.0
AP;Amapá;Norte;9;2;16;12.5;8;88.9
AC;Acre;Norte;5;2;22;9.1;4;80.0
RR;Roraima;Norte;2;1;15;6.7;0;0.0
