id_mencao;query;fonte_coleta;titulo;url;resumo;data_publicacao;veiculo;sentimento;posicionamento;tema;confianca;justificativa;metodo_classificacao;modelo_usado;erro_classificacao
1;"""Programa Melhor em Casa"" reclamacoes";serpapi;Falta de Atendimento do Programa Melhor em Casa Após ...;https://www.reclameaqui.com.br/secretaria-municipal-de-saude/falta-de-atendimento-do-programa-melhor-em-casa-apos-alta-hospitalar_PB48p51006LmVS76/;Venho por meio deste registrar reclamação formal pela ausência de atendimento do Programa Melhor em Casa a paciente encaminhado pelo hospital no ...;8 de jan. de 2026;Reclame Aqui;negativo;critica;atendimento em saúde;0.8;Reclamação formal sobre ausência de atendimento do programa, indicando insatisfação.;gemini;gemma-3-4b-it;
2;"""Programa Melhor em Casa"" reclamacoes";serpapi;Atendimento inadequado e falta de informação no ...;https://www.reclameaqui.com.br/prefeitura-uberaba/atendimento-inadequado-e-falta-de-informacao-no-programa-melhor-em-casa-e_dz1E7YUqZgwRxRx5/;... programa melhor em casa.E me deparei com pessoas despreparadas ao dar informações no telefone, sem senso, sem empatia, sem educação ...;3 de nov. de 2025;Reclame Aqui;negativo;critica;atendimento em saúde;0.8;Relato de atendimento ruim, falta de preparo e falta de empatia no programa.;gemini;gemma-3-4b-it;
3;"""Programa Melhor em Casa"" reclamacoes";serpapi;Michelly denuncia suspensão de serviços de vans do Programa ...;https://www.obomdanoticia.com.br/politica/michelly-denuncia-suspensao-de-servicos-de-vans-do-programa-melhor-em-casa-por-falta-de-pagamento/225452;Michelly denuncia suspensão de serviços de vans do Programa Melhor em Casa por falta de pagamento · Confira Também Nesta Seção: · Zapmudas ganha novo número e ...;;O Bom da Notícia;negativo;critica;suspensão de serviços de saúde;0.8;Denúncia de Michelly indica problemas no programa de assistência domiciliar.;gemini;gemma-3-4b-it;
4;"""Programa Melhor em Casa"" reclamacoes";serpapi;Jorge Luiz faz queixas quanto a regularidade de ...;https://portalon.com.br/jaguariuna/jorge-luiz-faz-queixas-quanto-a-regularidade-de-atendimento-no-programa-melhor-em-casa/;Jorge Luiz faz queixas quanto a regularidade de atendimento no programa “Melhor em Casa”. Vereador de Jaguariúna afirma que pacientes recebem ...;13 de jun. de 2025;Portal ON;negativo;critica;regularidade de atendimento;0.7;O texto expressa insatisfação com a falta de regularidade no atendimento à saúde.;gemini;gemma-3-4b-it;
5;"""Programa Melhor em Casa"" reclamacoes";serpapi;Reclamação do Programa Melhor Em Casa é solucionada;https://jornalsomos.com.br/rio-verde/detalhe/reclamacao-do-programa-melhor-em-casa-e-solucionada;Pela manhã de hoje (22), uma ouvinte da Rádio Líder 95FM fez uma reclamação sobre o Programa Melhor em Casa, um serviço indicado para ...;22 de nov. de 2018;Jornal Somos;positivo;apoio;saúde pública;0.8;Solução de reclamação indica melhoria no serviço de saúde pública.;gemini;gemma-3-4b-it;
6;"""Programa Melhor em Casa"" reclamacoes";serpapi;Programa Melhor em Casa (PMC);https://procuradaela.org.br/programa-melhor-em-casa-pmc/;Muitas pessoas tem dúvidas sobre o Programa Melhor em Casa (PMC), e desconhecem as formas de acesso. ... reclamação/denúncia através da ouvidoria de saúde ...;;Associação Pró-Cura da ELA;neutro;informativo;Programa Melhor em Casa;0.7;Texto informa sobre dúvidas e canais de acesso, sem expressar opinião.;gemini;gemma-3-4b-it;
7;"""Programa Melhor em Casa"" reclamacoes";serpapi;Atraso na alta de uma idosa - 95 anos.;https://www.reclameaqui.com.br/home-care-melhor-em-casa/atraso-na-alta-de-uma-idosa-95-anos_clF5LQd2cGdhLWEF/;Ela já está apta para alta, mas precisa continuar na sonda para alimentação e está esperando o programa Melhor em Casa fazer a visita no hospital e na nossa ...;;Reclame Aqui;negativo;critica;saude publica - atraso atendimento;0.8;Relato de idosa aguardando atendimento, evidenciando falha no sistema público.;gemini;gemma-3-4b-it;
8;"""Programa Melhor em Casa"" reclamacoes";serpapi;PROGRAMA MELHOR EM CASA - EQUIPE MULTIDISCIPLINAR ...;https://quemconfia.com.br/empresas/programa-melhor-em-casa-equipe-multidisciplinar-48949253000132;PROGRAMA MELHOR EM CASA - EQUIPE MULTIDISCIPLINAR é confiável? Veja avaliações, reclamações e opiniões de clientes reais antes de comprar.;;quemconfia.com.br;neutro;informativo;programas de saúde;0.7;Apresenta avaliações e opiniões, buscando informar sobre a confiabilidade do programa.;gemini;gemma-3-4b-it;
9;"""Programa Melhor em Casa"" reclamacoes";serpapi;Melhor em Casa inclui equipes de reabilitação e tem novas ...;https://www.gov.br/saude/pt-br/assuntos/noticias/2024/marco/melhor-em-casa-inclui-equipes-de-reabilitacao-e-tem-novas-diretrizes-para-gestores;O ano de 2024 iniciou com atualizações no programa Melhor em Casa: a inclusão de equipes exclusivas para reabilitação domiciliar e novos ...;22 de mar. de 2024;www.gov.br;neutro;informativo;saúde domiciliar;0.8;Anunciação de melhorias no programa, sem avaliação crítica ou opinião.;gemini;gemma-3-4b-it;
10;"""Programa Melhor em Casa"" reclamacoes";serpapi;Cuidado especializado em casa! Antes não tinha, agora tem ...;https://www.instagram.com/reel/DRTMzLTjaRc/;Tratamento é bom eu não tenho o que reclamar porque me tratam bem o tratamento em si excepcional. O programa melhor em casa do governo do ...;;Instagram · saudeam;positivo;apoio;saude em casa;0.7;Paciente expressa satisfação com o tratamento e programa governamental oferecido.;gemini;gemma-3-4b-it;
