Index,consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico,sentimento,estado,gargalo,texto_limpo,termos_relevantes,erro_classificacao
0,"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Lista de reclamações: HOME CARE MELHOR EM CASA,Reclamar. Todas as reclamações para HOME CARE MELHOR EM CASA. Exibindo 5 de 19 reclamações (todas as reclamações ativas da empresa HOME CARE MELHOR EM CASA ).,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/lista-reclamacoes/,Reclame Aqui,"['reclamações', 'MELHOR EM CASA', 'reclamações', 'reclamações', 'MELHOR EM CASA']",1,PA,negativo,NA,nenhum,reclamacoes todas reclamacoes para exibindo reclamacoes todas reclamacoes ativas,,
1,"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",HOME CARE MELHOR EM CASA,HOME CARE MELHOR EM CASA · Compare Reclamar · Saúde · + 362 de visualizações ... Pionnier - Atenção Domiciliar. Não recomendada. --. /10 · V. Viver Bem Home Care.,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/,Reclame Aqui,"['MELHOR EM CASA', 'Atenção Domiciliar']",2,,misto,NA,nenhum,compare pionnier atencao domiciliar nao recomendada viver bem,"medico, enfermeiro",
2,"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Falta de Atendimento do Programa Melhor em Casa Após ...,Venho por meio deste registrar reclamação formal pela ausência de atendimento do Programa Melhor em Casa a paciente encaminhado pelo hospital no ...,https://www.reclameaqui.com.br/secretaria-municipal-de-saude/falta-de-atendimento-do-programa-melhor-em-casa-apos-alta-hospitalar_PB48p51006LmVS76/,Reclame Aqui,8 de jan. de 2026,3,,negativo,NA,pessoal,falta apos venho por meio deste registrar reclamacao formal pela ausencia encaminhado pelo hospital,hospital,
3,"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Lista de reclamações: HOME CARE MELHOR EM CASA,Qual a reputação de HOME CARE MELHOR EM CASA ? Sem reputação definida. Essa empresa ainda não possui 10 reclamações avaliadas para calcularmos a reputação.,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/lista-reclamacoes/?problema=0000000000001463,Reclame AQUI,"['MELHOR EM CASA', 'reclamações']",4,PA,neutro,NA,nenhum,reclamacoes qual reputacao sem reputacao definida essa ainda nao possui reclamacoes avaliadas para calcularmos reputacao,equipe,
4,"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Wilker Barreto denuncia abandono de pacientes e atraso ...,Wilker Barreto denuncia abandono de pacientes e atraso salarial de profissionais dos programas 'Melhor em Casa' e 'Pé Diabético'. Por Beatriz ...,https://www.aleam.gov.br/wilker-barreto-denuncia-abandono-de-pacientes-e-atraso-salarial-de-profissionais-dos-programas-melhor-em-casa-e-pe-diabetico/,Assembleia Legislativa do Estado do Amazonas,2 de abr. de 2025,5,AM,negativo,NA,pessoal,wilker barreto denuncia abandono atraso wilker barreto denuncia abandono atraso salarial profissionais dos programas diabetico por beatriz,profissionais,
5,"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Histórias que Inspiram: Depoimentos de Quem Vive o Melhor em ...,... Depoimentos de Quem ... Histórias que Inspiram: Depoimentos de Quem Vive o Melhor em Casa ... ATENCÃO DOMICILIAR SECRETARIA ECREAUDE JOLOL ROMES DE SAÚDE .,https://www.instagram.com/reel/DG6o5BLRaSP/,Instagram,"['Depoimentos', 'Depoimentos', 'Melhor em Casa', 'ATENCÃO DOMICILIAR']",1,,positivo,NA,nenhum,historias que inspiram depoimentos quem vive depoimentos quem historias que inspiram depoimentos quem vive atencao domiciliar ecreaude jolol romes,medicamento,
6,"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Melhor em casa — Ministério da Saúde - Governo Federal,O Melhor em Casa oferece ... Profissionais de saúde da equipe de Atenção Domiciliar visitam o paciente regularmente para fornecer o tratamento necessário.,https://www.gov.br/saude/pt-br/composicao/saes/melhor-em-casa,www.gov.br,"['Melhor em Casa', 'Atenção Domiciliar']",2,PA,positivo,NA,pessoal,oferece profissionais equipe atencao domiciliar visitam regularmente para fornecer tratamento necessario,"medico, veiculo",
7,"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",A IMPORTÂNCIA DO PROGRAMA MELHOR EM CASA NO ...,"Por que é melhor em casa? A percepção de usuários e cuidadores da atenção domiciliar. Cogitare enferm., Curitiba, v. 22, n. 4, p. 1-9, ...",https://ojs.focopublicacoes.com.br/foco/article/view/1461,REVISTA FOCO,"['melhor em casa', 'atenção domiciliar']",3,,positivo,PR,nenhum,importancia por que percepcao cuidadores atencao domiciliar cogitare enferm curitiba,"cuidadores, enfermagem",
8,"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",“Melhor em Casa!?” A resiliência do profissional frente a ...,"Brasília, 2008. BRASIL MINISTÉRIO DA SAÚDE. Caderno de Atenção Domiciliar: Melhor em Casa. ... Atenção Domiciliar: contando histórias. São Paulo: Editora ...",https://tede2.pucsp.br/bitstream/handle/22702/2/Thais%20de%20Cassia%20Peixoto%20Maldonado.pdf,REPOSITORIO PUCSP,"['Atenção Domiciliar', 'Melhor em Casa', 'Atenção Domiciliar']",4,,misto,NA,pessoal,resiliencia profissional frente brasilia caderno atencao domiciliar atencao domiciliar contando historias sao paulo editora,"profissional, domicilio",
9,"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Programa Melhor em Casa leva qualidade de vida ...,"... Melhor em Casa não apenas acolheu o Sr. Orlando, mas garantiu a ... Na Cidade Mãe de Sergipe, o Serviço de Atenção Domiciliar (SAD) se ...",https://www.saocristovao.se.gov.br/noticia/programa-melhor-em-casa-leva-qualidade-de-vida-dignidade-e-acolhimento-a-pacientes-desospitalizados-em-sao-cristovao,Prefeitura Municipal de São Cristóvão - SE,6 de ago. de 2025,1,SE,positivo,SE,nenhum,leva qualidade vida nao apenas acolheu orlando mas garantiu cidade mae sergipe atencao domiciliar sad,,
