consulta,titulo,resumo,link,fonte,data,posicao,estado_heuristico,sentimento,estado,gargalo,texto_limpo,termos_relevantes,erro_classificacao
"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Lista de reclamações: HOME CARE MELHOR EM CASA,Reclamar. Todas as reclamações para HOME CARE MELHOR EM CASA. Exibindo 5 de 19 reclamações (todas as reclamações ativas da empresa HOME CARE MELHOR EM CASA ).,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/lista-reclamacoes/,Reclame Aqui,"['reclamações', 'MELHOR EM CASA', 'reclamações', 'reclamações', 'MELHOR EM CASA']",1,PA,negativo,PA,nenhum,reclamacoes reclamacoes exibindo reclamacoes reclamacoes ativas,reclamacoes,
"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",HOME CARE MELHOR EM CASA,HOME CARE MELHOR EM CASA · Compare Reclamar · Saúde · + 362 de visualizações ... Pionnier - Atenção Domiciliar. Não recomendada. --. /10 · V. Viver Bem Home Care.,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/,Reclame Aqui,"['MELHOR EM CASA', 'Atenção Domiciliar']",2,,negativo,NA,nenhum,compare pionnier recomendada viver bem,bem,
"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Falta de Atendimento do Programa Melhor em Casa Após ...,Venho por meio deste registrar reclamação formal pela ausência de atendimento do Programa Melhor em Casa a paciente encaminhado pelo hospital no ...,https://www.reclameaqui.com.br/secretaria-municipal-de-saude/falta-de-atendimento-do-programa-melhor-em-casa-apos-alta-hospitalar_PB48p51006LmVS76/,Reclame Aqui,8 de jan. de 2026,3,,negativo,NA,nenhum,falta apos venho meio deste registrar reclamacao formal ausencia encaminhado hospital,"meio, hospital",
"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Lista de reclamações: HOME CARE MELHOR EM CASA,Qual a reputação de HOME CARE MELHOR EM CASA ? Sem reputação definida. Essa empresa ainda não possui 10 reclamações avaliadas para calcularmos a reputação.,https://www.reclameaqui.com.br/empresa/home-care-melhor-em-casa/lista-reclamacoes/?problema=0000000000001463,Reclame AQUI,"['MELHOR EM CASA', 'reclamações']",4,PA,negativo,PA,nenhum,reclamacoes reputacao reputacao reclamacoes reputacao,reclamacoes,
"""Melhor em Casa"" OR ""atencao domiciliar"" reclamacao",Wilker Barreto denuncia abandono de pacientes e atraso ...,Wilker Barreto denuncia abandono de pacientes e atraso salarial de profissionais dos programas 'Melhor em Casa' e 'Pé Diabético'. Por Beatriz ...,https://www.aleam.gov.br/wilker-barreto-denuncia-abandono-de-pacientes-e-atraso-salarial-de-profissionais-dos-programas-melhor-em-casa-e-pe-diabetico/,Assembleia Legislativa do Estado do Amazonas,2 de abr. de 2025,5,AM,negativo,AM,pessoal,denuncia abandono atraso denuncia abandono atraso salarial profissionais programas diabetico,"denuncia, atraso, programas, profissionais",
"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Histórias que Inspiram: Depoimentos de Quem Vive o Melhor em ...,... Depoimentos de Quem ... Histórias que Inspiram: Depoimentos de Quem Vive o Melhor em Casa ... ATENCÃO DOMICILIAR SECRETARIA ECREAUDE JOLOL ROMES DE SAÚDE .,https://www.instagram.com/reel/DG6o5BLRaSP/,Instagram,"['Depoimentos', 'Depoimentos', 'Melhor em Casa', 'ATENCÃO DOMICILIAR']",1,,neutro,NA,nenhum,historias inspiram depoimentos vive depoimentos historias inspiram depoimentos vive ecreaude jolol romes,historias,
"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Melhor em casa — Ministério da Saúde - Governo Federal,O Melhor em Casa oferece ... Profissionais de saúde da equipe de Atenção Domiciliar visitam o paciente regularmente para fornecer o tratamento necessário.,https://www.gov.br/saude/pt-br/composicao/saes/melhor-em-casa,www.gov.br,"['Melhor em Casa', 'Atenção Domiciliar']",2,PA,positivo,PA,pessoal,profissionais equipe visitam regularmente fornecer tratamento necessario,"profissionais, equipe",
"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",A IMPORTÂNCIA DO PROGRAMA MELHOR EM CASA NO ...,"Por que é melhor em casa? A percepção de usuários e cuidadores da atenção domiciliar. Cogitare enferm., Curitiba, v. 22, n. 4, p. 1-9, ...",https://ojs.focopublicacoes.com.br/foco/article/view/1461,REVISTA FOCO,"['melhor em casa', 'atenção domiciliar']",3,,neutro,NA,pessoal,importancia percepcao cuidadores cogitare enferm curitiba,cuidadores,
"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",“Melhor em Casa!?” A resiliência do profissional frente a ...,"Brasília, 2008. BRASIL MINISTÉRIO DA SAÚDE. Caderno de Atenção Domiciliar: Melhor em Casa. ... Atenção Domiciliar: contando histórias. São Paulo: Editora ...",https://tede2.pucsp.br/bitstream/handle/22702/2/Thais%20de%20Cassia%20Peixoto%20Maldonado.pdf,REPOSITORIO PUCSP,"['Atenção Domiciliar', 'Melhor em Casa', 'Atenção Domiciliar']",4,,neutro,NA,nenhum,resiliencia profissional frente brasilia caderno contando historias paulo editora,"historias, resiliencia, profissional, frente",
"""Melhor em Casa"" OR ""atencao domiciliar"" depoimento",Programa Melhor em Casa leva qualidade de vida ...,"... Melhor em Casa não apenas acolheu o Sr. Orlando, mas garantiu a ... Na Cidade Mãe de Sergipe, o Serviço de Atenção Domiciliar (SAD) se ...",https://www.saocristovao.se.gov.br/noticia/programa-melhor-em-casa-leva-qualidade-de-vida-dignidade-e-acolhimento-a-pacientes-desospitalizados-em-sao-cristovao,Prefeitura Municipal de São Cristóvão - SE,6 de ago. de 2025,1,SE,positivo,SE,nenhum,qualidade vida acolheu garantiu cidade mae sergipe,qualidade,
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Jurisprudência sobre Programa Melhor em Casa,"O Município de Cuiabá encontra-se habilitado no Programa “Melhor em Casa”, recebendo recursos federais destinados à prestação de atenção domiciliar ...",https://www.jusbrasil.com.br/jurisprudencia/busca?q=programa+melhor+em+casa,Jusbrasil,"['Melhor em Casa', 'atenção domiciliar']",2,SE,negativo,SE,nenhum,jurisprudencia encontra habilitado recebendo recursos federais destinados prestacao,federais,
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Atraso na alta de uma idosa - 95 anos.,"Ela já está apta para alta, mas precisa continuar na sonda para alimentação e está esperando o programa Melhor em Casa fazer a visita no hospital e na nossa ...",https://www.reclameaqui.com.br/home-care-melhor-em-casa/atraso-na-alta-de-uma-idosa-95-anos_clF5LQd2cGdhLWEF/,Reclame Aqui,['Melhor em Casa'],3,PA,negativo,PA,escala,atraso alta idosa apta alta precisa continuar sonda alimentacao esperando visita hospital,"alta, precisa, sonda, hospital",
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Wilker Barreto denuncia atrasos salariais e demissões de ...,Wilker Barreto denuncia atrasos salariais e demissões de profissionais terceirizados da saúde no programa 'Melhor em Casa'. Por Beatriz Souza.,https://www.aleam.gov.br/wilker-barreto-denuncia-atrasos-salariais-e-demissoes-de-profissionais-terceirizados-da-saude-no-programa-melhor-em-casa/,ALEAM | Assembleia Legislativa do Estado do Amazonas,26 de mar. de 2025,4,AM,negativo,AM,pessoal,denuncia atrasos salariais demissoes denuncia atrasos salariais demissoes profissionais terceirizados souza,"denuncia, profissionais",
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Pior em Casa | Desativação do Programa Melhor em Casa ...,... Melhor em Casa pela Prefeitura de Cabo Frio ... atraso na moeda social Itajuru. Pescadores da Gamboa relatam que ...,https://www.instagram.com/reel/DOcS_goDLB1/,Instagram · faladirleioficial,,5,,negativo,NA,escala,pior desativacao cabo frio atraso moeda social itajuru pescadores gamboa relatam,atraso,
"""Melhor em Casa"" OR ""atencao domiciliar"" atraso",Protocolo de Regulação fisioterapia programa melhor em ...,O presente documento refere-se ao Protocolo de Regulação dos atendimentos fisioterapêuticos do Programa Melhor em Casa do Município de Biguaçu/ SC.,https://s3cache.dom.sc.gov.br/atos/2024/05/1717015306_pop_fisio_mec_regulacao_organizado_1.pdf,DOM/SC,['Melhor em Casa'],1,SE,negativo,SE,pessoal,protocolo regulacao fisioterapia presente documento refere protocolo regulacao atendimentos fisioterapeuticos biguacu,"protocolo, presente, atendimentos",
"""Melhor em Casa"" OR ""atencao domiciliar"" falha",NOTA PÚBLICA: A Verdade sobre o Serviço de Atenção ...,"... falha no atendimento do Serviço de Atenção Domiciliar (SAD). A situação decorre, na verdade, da omissão da Prefeitura, que não disponibiliza ...",https://sinsep.org.br/2026/03/18/nota-publica-a-verdade-sobre-o-servico-de-atencao-domiciliar-sad/,sinsep.org.br,há 8 dias,1,,negativo,NA,nenhum,nota publica verdade falha situacao decorre verdade omissao disponibiliza,"publica, situacao",
