MES;DATA_REFERENCIA;COBERTURA_PCT_NORTE;COBERTURA_PCT_NORDESTE;COBERTURA_PCT_CENTRO-OESTE;COBERTURA_PCT_SUDESTE;COBERTURA_PCT_SUL;COBERTURA_PCT_BRASIL
2011-01;2011-01-31;0.0;0.0;0.4283;0.2998;0.0;0.1257
2011-02;2011-02-28;0.0;0.0;0.4283;0.2998;0.0;0.1257
2011-03;2011-03-31;0.0;0.0;0.4283;0.2998;0.0;0.1257
2011-04;2011-04-30;0.0;0.0;0.4283;0.2998;0.0;0.1257
2011-05;2011-05-31;0.0;0.0;0.4283;0.2998;0.0;0.1257
2011-06;2011-06-30;0.0;0.0557;0.4283;0.2998;0.0;0.1436
2011-07;2011-07-31;0.0;0.0557;0.4283;0.2998;0.0;0.1436
2011-08;2011-08-31;0.0;0.0557;0.4283;0.2998;0.0;0.1436
2011-09;2011-09-30;0.0;0.0557;0.4283;0.2998;0.0;0.1436
2011-10;2011-10-31;0.0;0.1115;0.4283;0.2998;0.084;0.1795
2011-11;2011-11-30;0.0;0.1115;0.4283;0.4796;0.2519;0.2693
2011-12;2011-12-31;0.2222;0.1115;0.4283;0.8993;0.2519;0.4129
2012-01;2012-01-31;0.2222;0.2787;0.4283;0.9592;0.2519;0.4847
2012-02;2012-02-29;0.2222;0.2787;0.6424;1.0192;0.4198;0.5566
2012-03;2012-03-31;0.2222;0.3344;0.6424;1.0791;0.4198;0.5925
2012-04;2012-04-30;0.4444;0.3902;0.6424;1.199;0.4198;0.6643
2012-05;2012-05-31;0.4444;0.6132;0.8565;1.259;0.4198;0.772
2012-06;2012-06-30;0.4444;0.6132;1.0707;1.3789;0.4198;0.8259
2012-07;2012-07-31;0.4444;0.6689;1.0707;1.6187;0.4198;0.9156
2012-08;2012-08-31;0.6667;0.7246;1.0707;1.6787;0.5038;0.9874
2012-09;2012-09-30;0.6667;0.7804;1.0707;1.7386;0.5038;1.0233
2012-10;2012-10-31;0.6667;0.7804;1.0707;1.9784;0.5038;1.0952
2012-11;2012-11-30;0.6667;0.8361;1.0707;2.0384;0.5038;1.1311
2012-12;2012-12-31;0.6667;0.9476;1.0707;2.0384;0.5038;1.167
2013-01;2013-01-31;0.8889;1.0591;1.0707;2.2182;0.5038;1.2747
2013-02;2013-02-28;1.1111;1.1706;1.0707;2.3381;0.5038;1.3645
2013-03;2013-03-31;1.1111;1.2263;1.0707;2.458;0.5038;1.4183
2013-04;2013-04-30;1.1111;1.2821;1.0707;2.6379;0.5038;1.4901
2013-05;2013-05-31;1.1111;1.2821;1.0707;2.7578;0.5038;1.526
2013-06;2013-06-30;1.1111;1.3378;1.0707;2.9376;0.5877;1.6158
2013-07;2013-07-31;1.1111;1.5608;1.0707;3.2374;0.6717;1.7953
2013-08;2013-08-31;1.3333;1.728;1.0707;3.8369;0.6717;2.0467
2013-09;2013-09-30;1.5556;1.7837;1.2848;4.0168;0.7557;2.1724
2013-10;2013-10-31;1.7778;1.8952;1.4989;4.0767;0.8396;2.2801
2013-11;2013-11-30;1.7778;2.0624;1.7131;4.1367;0.8396;2.3698
2013-12;2013-12-31;2.0;2.3411;2.1413;4.3765;0.8396;2.5853
2014-01;2014-01-31;2.2222;2.7313;2.3555;4.6163;0.8396;2.8187
2014-02;2014-02-28;2.6667;3.01;2.5696;4.6763;1.0915;3.0341
2014-03;2014-03-31;2.6667;3.3445;2.9979;4.9161;1.2594;3.2855
2014-04;2014-04-30;2.6667;3.8462;2.9979;4.976;1.2594;3.465
2014-05;2014-05-31;2.6667;4.0691;2.9979;5.2758;1.5113;3.6804
2014-06;2014-06-30;2.6667;4.2363;3.4261;5.6954;1.5953;3.9138
2014-07;2014-07-31;3.3333;4.2921;4.0685;5.9952;1.7632;4.1652
2014-08;2014-08-31;4.0;4.6823;4.0685;6.235;1.8472;4.4345
2014-09;2014-09-30;4.4444;4.961;4.2827;6.4149;2.0151;4.6679
2014-10;2014-10-31;4.6667;5.1839;4.2827;6.4149;2.0991;4.7756
2014-11;2014-11-30;4.8889;5.2397;4.2827;6.4748;2.183;4.8474
2014-12;2014-12-31;5.1111;5.4627;4.4968;6.4748;2.351;4.991
2015-01;2015-01-31;5.3333;5.6856;4.9251;6.5348;2.351;5.1346
2015-02;2015-02-28;5.3333;5.7414;5.1392;6.5947;2.351;5.1885
2015-03;2015-03-31;5.3333;5.9086;5.1392;6.6547;2.4349;5.2783
2015-04;2015-04-30;5.3333;6.0201;5.1392;6.7146;2.4349;5.3321
2015-05;2015-05-31;5.3333;6.0201;5.1392;6.7746;2.4349;5.3501
2015-06;2015-06-30;5.3333;6.0201;5.1392;6.8945;2.4349;5.386
2015-07;2015-07-31;5.3333;6.0201;5.1392;6.8945;2.5189;5.4039
2015-08;2015-08-31;5.5556;6.0201;5.1392;6.9544;2.4349;5.4219
2015-09;2015-09-30;5.5556;6.0758;5.3533;6.8945;2.4349;5.4399
2015-10;2015-10-31;5.7778;6.0758;5.3533;6.8945;2.4349;5.4578
2015-11;2015-11-30;5.7778;6.1315;5.5675;6.8945;2.4349;5.4937
2015-12;2015-12-31;5.7778;6.1315;5.5675;7.0144;2.4349;5.5296
2016-01;2016-01-31;5.7778;6.1315;5.5675;7.0144;2.4349;5.5296
2016-02;2016-02-29;5.7778;6.1873;5.7816;7.0144;2.4349;5.5655
2016-03;2016-03-31;5.7778;6.1873;5.7816;7.1343;2.4349;5.6014
2016-04;2016-04-30;6.0;6.2988;5.9957;7.1343;2.4349;5.6732
2016-05;2016-05-31;6.0;6.2988;5.9957;7.1942;2.4349;5.6912
2016-06;2016-06-30;6.0;6.2988;5.9957;7.1942;2.4349;5.6912
